Name		 RA (J2000)	 Dec (J2000)	 Vsys   Type	 Reference
Arp 299 	 11:28:31.9 	 +58:33:45 	 3121 	Jet	 Henkel05
NGC 3735 	 11:35:57.3 	 +70:32:09 	 2696 	Disk	 Greenhill97
CGCG 068-013 	 11:38:08.01 	 +11:11:47.0 	 10707 	Other	 6C35
NGC 3783 	 11:39:01.7 	 -37:44:19 	 2917 	Other	 BAT6A22
CGCG 268-089 	 11:49:45.7 	 +50:31:37.0 	 7924 	Other	 6C35
J1202+3519 	 12:02:04.62 	 +35:19:18.1 	 10201  Disk/Jet 7A66
UGC 7016 	 12:02:23.98 	 +14:50:37.1 	 7271   Other	 7A34
NGC 4051 	 12:03:09.6 	 +44:31:53 	 700 	Other    Hagiwara03
NGC 4151 	 12:10:32.6 	 +39:24:21 	 995 	Other    Braatz04
NGC 4194 	 12:14:09.5 	 +54:31:37 	 2501 	Other	 2MRS
NGC 4253 	 12:18:26.51 	 +29:48:46.3 	 3876   Other    BAT7A66
NGC 4258 	 12:18:57.5 	 +47:18:14 	 448    Disk     Claussen84
NGC 4293 	 12:21:12.9 	 +18:22:57 	 890    Disk	 Kondratko06
NGC 4388 	 12:25:46.7 	 +12:39:44 	 2524 	Other    Braatz04
NGC 4527 	 12:34:08.50 	 +02:39:13.7 	 1736 	Other	 Braatz08
NGC 4633 	 12:42:37.4 	 +14:21:26 	 291 	Other	 2MRS
J1255-0804 	 12:55:59.86 	 -08:04:33.6 	 4003 	Jet	 9C51/10C19
ESO 269-G012 	 12:56:40.5 	 -46:55:34 	 4950 	Disk  	 Greenhill03
NGC 4922 	 13:01:25.2 	 +29:18:50 	 7056 	Jet	 Braatz04
NGC 4945 	 13:05:27.5 	 -49:28:06 	 560 	Disk	 dosSantos79
NGC 4968 	 13:07:05.98 	 -23:40:37.3 	 2957 	Disk	 6dF
NGC 5077 	 13:19:31.7 	 -12:39:25 	 2806 	Other			         
M 51 		 13:29:52.7 	 +47:11:43 	 463 	Jet	 Ho87
NGC 5256 	 13:38:17.2 	 +48:16:32 	 8419 	Other	 Braatz04
J1346+5228 	 13:46:40.79 	 +52:28:36.9 	 8763  	Disk     6C35
NGC 5347 	 13:53:17.8 	 +33:29:27 	 2335 	Jet	 Braatz96
J1355+0553 	 13:55:35.91 	 +05:53:04.7 	 11762 	Other	 7A66
MCG+11-17-010 	 13:56:28.7 	 +64:37:43 	 9456 	Other    6A09
J1356+6937 	 13:56:47.4 	 69:37:12 	 10522 	Other	     
ESO 446-G018 	 14:08:38.28 	 -29:34:19.3 	 4771 	Jet	 6dF
NGC 5495 	 14:12:23.3 	 -27:06:29 	 6737 	Disk	 Kondratko03
Circinus 	 14:13:09.3 	 -65:20:21 	 450 	Disk	 Gardner82
NGC 5506 	 14:13:14.8 	 -03:12:27 	 1853 	Jet	 Braatz94
MCG-02-37-004 	 14:26:12.3 	 -11:54:17 	 12439 	Jet			     
NGC 5643 	 14:32:40.8 	 -44:10:29 	 1199 	Jet	 Greenhill03
NGC 5691 	 14:37:53.3 	 -00:23:56 	 1870 	Other	 2MRS
NGC 5728 	 14:42:23.9 	 -17:15:11 	 2788 	Disk	 Braatz04
CGCG 164-019 	 14:45:36.8 	 +27:02:05 	 8963 	Other	 2MRS
NGC 5765B 	 14:50:51.5 	 +05:06:52 	 8333 	Disk					     
UGC 9618B 	 14:57:00.7 	 +24:37:03 	 10094 	Disk	 Kondratko03
UGC 9639 	 14:58:36.0 	 +44:53:01 	 10802 	Other	 6C35
NGC 5793 	 14:59:24.7 	 -16:41:36 	 3491 	Disk/Jet Hagiwara97
J1520+5253 	 15:20:19.67 	 +52:53:56.7 	 11166 	Other	 6C35
UGC 9954 	 15:39:16.7 	 +24:27:18 	 10310 	Other	 9C51/10C19
J1607+0106 	 16:07:03.94 	 +01:06:29.3 	 8216 	Other	 6C35
J1630+3923 	 16:30:32.6 	 +39:23:03 	 9161 	Other	 Greenhill09
CGCG 168-018 	 16:30:40.92 	 30:29:19.6 	 11015 	Jet	 7A66
NGC 6240 	 16:52:58.9 	 +02:24:03 	 7465 	Other	 Henkel84;Hagiwara02;Nakai02;Braatz03
NGC 6264 	 16:57:16.1 	 +27:50:59 	 10177 	Disk	 Kondratko03
J1658+3923 	 16:58:15.5 	 +39:23:29 	 10290 	Disk	 6A09
J1710+1344 	 17:10:18.1 	 +13:44:06 	 9448 	Other	 2MRS
NGC 6323 	 17:13:18.0 	 +43:46:56 	 7772 	Disk	 Braatz04
NGC 6300 	 17:16:59.5 	 -62:49:14 	 1110 	Other	 Greenhill03
ESO 103-G35 	 18:38:20.3 	 -65:25:42 	 3985 	Disk/Jet Braatz96
J1939-0124 	 19:39:38.9 	 -01:24:33 	 6188 	Jet	 Greenhill03
3C403 		 19:52:15.8 	 +02:30:24 	 17690 	Jet	 Tarchi03
NGC 6926 	 20:33:06.1 	 -02:01:39 	 5970 	Disk	 Greenhill03
UGC 11685 	 21:09:11.4 	 -01:47:54.9 	 5872 	Other	 2MRS
IC 1361 	 21:11:29.1 	 +05:03:15.6 	 3962 	Disk/Jet 2MRS
J2144+1534 	 21:44:57.29 	 15:34:50.0 	 9138 	Jet	 9C51/10C19
J2201-3746 	 22:01:17.1 	 -37:46:24 	 9661 	Jet	 Kondratko06
TXS 2226-184 	 22:29:12.5 	 -18:10:47 	 7495 	Disk	 Koekemoer95
NGC 7479 	 23:04:56.65 	 +12:19:22.4 	 2381 	Other	 Braatz08
IC 1481 	 23:19:25.1 	 +05:54:22 	 6120 	Disk	 Braatz96
MCG+05-55-041 	 23:37:16.45 	 +31:48:02.6 	 9356 	Disk/Jet 9C51/10C19
CGCG498-038 	 23:55:44.2 	 +30:12:44 	 9240 	Other	 2MRS 
